date,y
01-01-2010,112.0
01-02-2010,118.0
01-03-2010,132.0
01-04-2010,129.0
01-05-2010,121.0
01-06-2010,135.0
01-07-2010,148.0
01-08-2010,148.0
01-09-2010,136.0
01-10-2010,119.0
01-11-2010,104.0
01-12-2010,118.0
01-01-2011,115.0
01-02-2011,126.0
01-03-2011,141.0
01-04-2011,135.0
01-05-2011,125.0
01-06-2011,149.0
01-07-2011,170.0
01-08-2011,170.0
01-09-2011,158.0
01-10-2011,133.0
01-11-2011,114.0
01-12-2011,140.0
01-01-2012,145.0
01-02-2012,150.0
01-03-2012,178.0
01-04-2012,163.0
01-05-2012,172.0
01-06-2012,178.0
01-07-2012,199.0
01-08-2012,199.0
01-09-2012,184.0
01-10-2012,162.0
01-11-2012,146.0
01-12-2012,166.0
01-01-2013,171.0
01-02-2013,180.0
01-03-2013,193.0
01-04-2013,181.0
01-05-2013,183.0
01-06-2013,218.0
01-07-2013,230.0
01-08-2013,242.0
01-09-2013,209.0
01-10-2013,191.0
01-11-2013,172.0
01-12-2013,194.0
01-01-2014,196.0
01-02-2014,196.0
01-03-2014,236.0
01-04-2014,235.0
01-05-2014,229.0
01-06-2014,243.0
01-07-2014,264.0
01-08-2014,272.0
01-09-2014,237.0
01-10-2014,211.0
01-11-2014,180.0
01-12-2014,201.0
01-01-2015,204.0
01-02-2015,188.0
01-03-2015,235.0
01-04-2015,227.0
01-05-2015,234.0
01-06-2015,264.0
01-07-2015,302.0
01-08-2015,293.0
01-09-2015,259.0
01-10-2015,229.0
01-11-2015,203.0
01-12-2015,229.0
01-01-2016,242.0
01-02-2016,233.0
01-03-2016,267.0
01-04-2016,269.0
01-05-2016,270.0
01-06-2016,315.0
01-07-2016,364.0
01-08-2016,347.0
01-09-2016,312.0
01-10-2016,274.0
01-11-2016,237.0
01-12-2016,278.0
01-01-2017,284.0
01-02-2017,277.0
01-03-2017,317.0
01-04-2017,313.0
01-05-2017,318.0
01-06-2017,374.0
01-07-2017,413.0
01-08-2017,405.0
01-09-2017,355.0
01-10-2017,306.0
01-11-2017,271.0
01-12-2017,306.0
01-01-2018,315.0
01-02-2018,301.0
01-03-2018,356.0
01-04-2018,348.0
01-05-2018,355.0
01-06-2018,422.0
01-07-2018,465.0
01-08-2018,467.0
01-09-2018,404.0
01-10-2018,347.0
01-11-2018,305.0
01-12-2018,336.0
01-01-2019,340.0
01-02-2019,318.0
01-03-2019,362.0
01-04-2019,348.0
01-05-2019,363.0
01-06-2019,435.0
01-07-2019,491.0
01-08-2019,505.0
01-09-2019,404.0
01-10-2019,359.0
01-11-2019,310.0
01-12-2019,337.0
01-01-2020,360.0
01-02-2020,342.0
01-03-2020,406.0
01-04-2020,396.0
01-05-2020,420.0
01-06-2020,472.0
01-07-2020,548.0
01-08-2020,559.0
01-09-2020,463.0
01-10-2020,407.0
01-11-2020,362.0
01-12-2020,405.0
01-01-2021,417.0
01-02-2021,391.0
01-03-2021,419.0
01-04-2021,461.0
01-05-2021,472.0
01-06-2021,535.0
01-07-2021,622.0
01-08-2021,606.0
01-09-2021,508.0
01-10-2021,461.0
01-11-2021,390.0
01-12-2021,432.0
